t,motion_raw,motion_smooth,is_boundary
4557,0.024267,0.025899,0
4558,0.029576,0.025433,0
4559,0.024825,0.026661,0
4560,0.024810,0.027679,0
4561,0.024729,0.028583,0
4562,0.032050,0.027475,0
4563,0.023970,0.028921,0
4564,0.024154,0.030139,0
4565,0.024027,0.031175,0
4566,0.049553,0.027326,0
4567,0.024754,0.029713,0
4568,0.024494,0.031793,0
4569,0.024475,0.033625,0
4570,0.070349,0.025806,0
4571,0.024452,0.030894,0
4572,0.024684,0.035170,0
4573,0.055085,0.024069,0
4574,0.025528,0.032903,0
4575,0.025421,0.040665,0
4576,0.025475,0.047535,0
4577,0.071888,0.038102,0
4578,0.024158,0.049057,0
4579,0.024392,0.058430,0
4580,0.024409,0.066556,0
4581,0.139074,0.062076,0
4582,0.026273,0.073247,0
4583,0.026369,0.081880,0
4584,0.026299,0.088983,0
4585,0.255123,0.087710,0
4586,0.023321,0.096896,0
4587,0.023632,0.102534,0
4588,0.385453,0.084179,0
4589,0.023455,0.096021,0
4590,0.023161,0.104594,0
4591,0.023167,0.111068,0
4592,0.398506,0.085098,0
4593,0.024382,0.100904,0
4594,0.024320,0.111940,0
4595,0.024352,0.120156,0
4596,0.300721,0.099739,0
4597,0.022950,0.118049,0
4598,0.022989,0.128408,0
4599,0.023008,0.135444,0
4600,0.190024,0.107953,0
4601,0.021378,0.132512,0
4602,0.021439,0.143641,0
4603,0.565779,0.087968,0
4604,0.026464,0.134211,0
4605,0.025891,0.160529,0
4606,0.025953,0.181743,0
4607,0.765376,0.146295,0
4608,0.025093,0.196948,0
4609,0.024762,0.226314,0
4610,0.024831,0.249743,0
4611,0.653405,0.214317,0
4612,0.024246,0.260491,0
4613,0.024068,0.288276,0
4614,0.024123,0.309057,0
4615,0.784099,0.253321,0
4616,0.023032,0.294350,0
4617,0.022885,0.319885,0
4618,1.554938,0.241049,0
4619,0.024328,0.314581,0
4620,0.023952,0.355635,0
4621,0.023986,0.386338,1
4622,1.280154,0.326015,0
4623,0.026217,0.406801,0
4624,0.026156,0.445628,0
4625,0.026133,0.472867,0
4626,1.315142,0.436821,0
4627,0.025184,0.495030,0
4628,0.024845,0.515189,0
4629,0.024812,0.523113,0
4630,1.717882,0.487383,0
4631,0.025661,0.525161,0
4632,0.025700,0.519475,0
4633,2.359185,0.484694,0
4634,0.024585,0.547462,1
4635,0.024844,0.536305,0
4636,0.024769,0.514019,0
4637,1.990407,0.480417,0
4638,0.025560,0.507205,0
4639,0.025498,0.472685,0
4640,0.025495,0.428335,0
4641,1.285094,0.373481,0
4642,0.025777,0.382881,0
4643,0.025774,0.330776,0
4644,0.025878,0.270072,0
4645,0.791515,0.200587,0
4646,0.026858,0.218853,0
4647,0.026473,0.160788,0
4648,0.436676,0.095856,0
4649,0.025758,0.156481,0
4650,0.025190,0.116752,0
4651,0.024954,0.072548,0
4652,0.029626,0.023900,0
4653,0.025016,0.082173,0
4654,0.025016,0.057307,0
4655,0.025009,0.029952,0
4656,0.041511,-0.000034,0
4657,0.024111,0.039179,0
4658,0.023648,0.025484,0
4659,0.023826,0.010576,0
4660,0.028863,-0.005575,0
4661,0.023925,0.020558,0
4662,0.024078,0.014872,0
4663,0.024653,0.008533,0
4664,0.024318,0.025327,0
4665,0.024507,0.025236,0
4666,0.024435,0.025100,0
4667,0.023209,0.024931,0
4668,0.025143,0.025009,0
4669,0.024933,0.024868,0
4670,0.025047,0.024700,0
4671,0.028704,0.024285,0
4672,0.024592,0.025080,0
4673,0.024439,0.025121,0
4674,0.024465,0.025113,0
4675,0.025353,0.024984,0
4676,0.024293,0.025261,0
4677,0.024399,0.025294,0
4678,0.029627,0.025231,0
4679,0.024626,0.025256,0
4680,0.024569,0.025248,0
4681,0.024507,0.025221,0
4682,0.024338,0.025189,0
4683,0.024030,0.025034,0
4684,0.024031,0.024946,0
4685,0.024021,0.024841,0
4686,0.029348,0.024644,0
4687,0.023922,0.024770,0
4688,0.024191,0.024713,0
4689,0.024104,0.024635,0
4690,0.026445,0.024422,0
4691,0.023564,0.024392,0
4692,0.023700,0.024323,0
4693,0.025416,0.024224,0
4694,0.023950,0.024427,0
4695,0.023806,0.024423,0
4696,0.023906,0.024419,0
4697,0.023402,0.024248,0
4698,0.024003,0.024261,0
4699,0.024093,0.024260,0
4700,0.024037,0.024256,0
4701,0.026189,0.024091,0
4702,0.023994,0.024426,0
4703,0.024015,0.024546,0
4704,0.024034,0.024676,0
4705,0.027044,0.024469,0
4706,0.024599,0.024798,0
4707,0.024268,0.025001,0
4708,0.024827,0.025109,0
4709,0.024578,0.025409,0
4710,0.024658,0.025639,0
4711,0.024664,0.025839,0
4712,0.028640,0.025788,0
4713,0.025390,0.025995,0
4714,0.025365,0.026206,0
4715,0.025414,0.026386,0
4716,0.029214,0.026324,0
4717,0.025654,0.026609,0
4718,0.025392,0.026770,0
4719,0.025303,0.026888,0
4720,0.033241,0.026985,0
4721,0.026043,0.027191,0
4722,0.025908,0.027259,0
4723,0.027947,0.027007,0
4724,0.025929,0.027120,0
4725,0.025761,0.027159,0
4726,0.025794,0.027133,0
4727,0.031438,0.026971,0
4728,0.025845,0.027056,0
4729,0.025616,0.026969,0
4730,0.025589,0.026835,0
4731,0.030523,0.026440,0
4732,0.025854,0.026490,0
4733,0.025721,0.026359,0
4734,0.025696,0.026167,0
4735,0.025115,0.025807,0
4736,0.025256,0.026001,0
4737,0.025124,0.025892,0
4738,0.031375,0.025332,0
4739,0.024201,0.025513,0
4740,0.024155,0.025567,0
4741,0.024186,0.025583,0
4742,0.025931,0.025344,0
4743,0.024471,0.025689,0
4744,0.024284,0.025784,0
4745,0.024223,0.025845,0
4746,0.029478,0.025611,0
4747,0.024638,0.026012,0
4748,0.024611,0.026189,0
4749,0.024843,0.026335,0
4750,0.027959,0.026267,0
4751,0.025636,0.026367,0
4752,0.025610,0.026449,0
4753,0.036223,0.026274,0
4754,0.024528,0.026744,0
4755,0.024770,0.026865,0
4756,0.024782,0.026933,0
4757,0.030279,0.026889,0
4758,0.025128,0.026956,0
4759,0.025093,0.026918,0
4760,0.025071,0.026826,0
4761,0.031603,0.026443,0
4762,0.024683,0.026631,0
4763,0.024814,0.026571,0
4764,0.024776,0.026464,0
4765,0.029340,0.026118,0
4766,0.025433,0.026191,0
4767,0.025361,0.026123,0
4768,0.030746,0.025842,0
4769,0.024838,0.026374,0
4770,0.024887,0.026384,0
4771,0.024864,0.026355,0
4772,0.026315,0.026059,0
4773,0.025233,0.026309,0
4774,0.025234,0.026303,0
4775,0.025185,0.026256,0
4776,0.030995,0.025962,0
4777,0.025129,0.026264,0
4778,0.025186,0.026251,0
4779,0.025130,0.026206,0
4780,0.030061,0.026043,0
4781,0.024819,0.026182,0
4782,0.024944,0.026137,0
4783,0.029188,0.025333,0
4784,0.024680,0.025846,0
4785,0.024437,0.026026,0
4786,0.024380,0.026165,0
4787,0.029659,0.026237,0
4788,0.024625,0.026363,0
4789,0.024680,0.026406,0
4790,0.024684,0.026406,0
4791,0.029675,0.026151,0
4792,0.024997,0.026465,0
4793,0.024809,0.026504,0
4794,0.024737,0.026508,0
4795,0.026535,0.025164,0
4796,0.025096,0.025767,0
4797,0.025119,0.026140,0
4798,0.042932,0.026489,0
4799,0.024083,0.027026,0
4800,0.024843,0.027316,0
4801,0.024728,0.027526,0
4802,0.025156,0.027422,0
4803,0.024823,0.027900,0
4804,0.024766,0.028075,0
4805,0.024826,0.028181,0
4806,0.030025,0.028154,0
4807,0.025059,0.028413,0
4808,0.025019,0.028412,0
4809,0.025054,0.028333,0
4810,0.056932,0.027986,0
4811,0.026856,0.027925,0
4812,0.026181,0.027733,0
4813,0.025655,0.027257,0
4814,0.025440,0.028000,0
4815,0.025395,0.027912,0
4816,0.025396,0.027805,0
4817,0.031255,0.027575,0
4818,0.024690,0.027399,0
4819,0.025097,0.027152,0
4820,0.025026,0.026843,0
4821,0.026411,0.026467,0
4822,0.025028,0.026334,0
4823,0.025020,0.025951,0
4824,0.025032,0.025517,0
4825,0.029742,0.024918,0
4826,0.025197,0.026241,0
4827,0.025287,0.026325,0
4828,0.030672,0.026337,0
4829,0.025893,0.026351,0
4830,0.025807,0.026340,0
4831,0.025776,0.026303,0
4832,0.027316,0.026303,0
4833,0.025761,0.026581,0
4834,0.025793,0.026549,0
4835,0.025793,0.026503,0
4836,0.026096,0.026389,0
4837,0.025987,0.026375,0
4838,0.025946,0.026272,0
4839,0.025881,0.026134,0
4840,0.028658,0.025604,0
